Num Rules,Precision,Recall
1,0.028481211265395778,0.010917930935748428
2,0.04681838388592919,0.01797526373256895
3,0.043175180119166934,0.023196835293046933
4,0.03561924986966173,0.024708515298282517
5,0.03007554703697741,0.027317685370385043
6,0.028226632456183464,0.027962733822659482
7,0.02744362910675946,0.028393972140556004
8,0.02994905041777987,0.03459623290530056
9,0.028107755487139188,0.03568166387887859
10,0.02673397536855032,0.03676688654564986
50,0.03458406235899718,0.0997420571155242
100,0.028662824982221054,0.10884641542081018
