X,Y,Support,X Freq,Confidence,Rule
33493,{2571},61,63,0.9682539682539683,33493 -> {2571}
33493,{260},61,63,0.9682539682539683,33493 -> {260}
33493,{1196},61,63,0.9682539682539683,33493 -> {1196}
6934,{2571},55,57,0.9649122807017544,6934 -> {2571}
33493,"{2571, 1196}",60,63,0.9523809523809523,"33493 -> {2571, 1196}"
33493,"{2571, 260}",59,63,0.9365079365079365,"33493 -> {2571, 260}"
33493,"{1196, 260}",59,63,0.9365079365079365,"33493 -> {1196, 260}"
6365,{2571},69,74,0.9324324324324325,6365 -> {2571}
2640,{1196},54,58,0.9310344827586207,2640 -> {1196}
1221,{858},117,126,0.9285714285714286,1221 -> {858}
2916,{2571},70,76,0.9210526315789473,2916 -> {2571}
33493,"{1196, 2571, 260}",58,63,0.9206349206349206,"33493 -> {1196, 2571, 260}"
778,{296},90,98,0.9183673469387755,778 -> {296}
231,{356},65,71,0.9154929577464789,231 -> {356}
2640,{260},53,58,0.9137931034482759,2640 -> {260}
55820,{296},51,56,0.9107142857142857,55820 -> {296}
3081,{2571},50,55,0.9090909090909091,3081 -> {2571}
5378,{2571},67,74,0.9054054054054054,5378 -> {2571}
33493,{1210},57,63,0.9047619047619048,33493 -> {1210}
33493,"{1210, 1196}",57,63,0.9047619047619048,"33493 -> {1210, 1196}"
8360,{4306},75,83,0.9036144578313253,8360 -> {4306}
288,{296},65,72,0.9027777777777778,288 -> {296}
1393,{356},54,60,0.9,1393 -> {356}
5445,{2571},96,107,0.897196261682243,5445 -> {2571}
2640,"{1196, 260}",52,58,0.896551724137931,"2640 -> {1196, 260}"
1278,{1198},51,57,0.8947368421052632,1278 -> {1198}
2916,{1196},68,76,0.8947368421052632,2916 -> {1196}
1240,{589},108,121,0.8925619834710744,1240 -> {589}
1196,{260},182,204,0.8921568627450981,1196 -> {260}
1291,{1198},121,136,0.8897058823529411,1291 -> {1198}
33493,"{1210, 2571}",56,63,0.8888888888888888,"33493 -> {1210, 2571}"
33493,"{1210, 2571, 1196}",56,63,0.8888888888888888,"33493 -> {1210, 2571, 1196}"
7438,{6874},87,98,0.8877551020408163,7438 -> {6874}
1210,{260},165,186,0.8870967741935484,1210 -> {260}
111,{296},67,76,0.881578947368421,111 -> {296}
2916,{260},67,76,0.881578947368421,2916 -> {260}
2617,{2571},59,67,0.8805970149253731,2617 -> {2571}
