itemset,Support
"(318,)",307
"(296,)",289
"(593,)",265
"(2571,)",264
"(356,)",240
"(260,)",239
"(589,)",215
"(296, 318)",209
"(527,)",208
"(1,)",206
"(1196,)",204
"(50,)",199
"(1198,)",195
"(296, 593)",194
"(47,)",191
"(2858,)",191
"(318, 593)",189
"(1210,)",186
"(150,)",185
"(260, 1196)",182
"(592,)",178
"(780,)",176
"(318, 356)",175
"(32,)",173
"(318, 2571)",171
"(588,)",171
"(858,)",171
"(260, 2571)",168
"(2762,)",166
"(296, 356)",165
"(260, 1210)",165
"(296, 2571)",165
"(1196, 2571)",162
"(47, 296)",160
"(318, 527)",158
"(4306,)",157
"(50, 296)",156
"(4993,)",156
"(296, 318, 593)",156
"(50, 318)",155
"(590,)",154
"(1196, 1210)",154
"(356, 2571)",151
"(260, 1198)",151
"(4226,)",150
"(608,)",150
"(648,)",150
"(260, 1196, 2571)",150
"(296, 589)",149
"(593, 2571)",148
"(356, 593)",147
"(1198, 2571)",146
"(260, 1196, 1210)",146
"(1210, 2571)",144
"(58559,)",142
"(260, 593)",142
"(1196, 1198)",142
"(260, 318)",142
"(260, 296)",142
"(47, 593)",141
"(589, 593)",141
"(595,)",140
"(2959,)",139
"(527, 593)",139
"(1197,)",139
"(296, 527)",139
"(47, 318)",137
"(150, 318)",137
"(260, 1196, 1198)",137
"(296, 2858)",137
"(1036,)",136
"(1291,)",136
"(318, 589)",136
"(2571, 2858)",135
"(2571, 2762)",135
"(1214,)",134
"(1270,)",133
"(110,)",132
"(79132,)",132
"(589, 2571)",132
"(260, 356)",132
"(1196, 1210, 2571)",132
"(50, 593)",131
"(260, 1210, 2571)",131
"(296, 1196)",131
"(1193,)",131
"(165,)",130
"(5952,)",130
"(296, 592)",130
"(50, 296, 318)",130
"(260, 589)",130
"(296, 318, 356)",130
"(593, 1196)",129
"(293,)",129
"(1, 318)",129
"(1, 296)",128
"(356, 527)",128
"(1089,)",128
"(318, 2858)",128
"(150, 296)",128
"(2329,)",127
"(4886,)",127
"(589, 592)",127
"(47, 296, 318)",127
"(47, 296, 593)",127
"(318, 1196)",126
"(1221,)",126
"(296, 318, 2571)",126
"(597,)",126
"(260, 1196, 1210, 2571)",126
"(1, 260)",125
"(32, 296)",125
"(7361,)",124
"(356, 1196)",124
"(296, 593, 2571)",123
"(593, 2858)",123
"(260, 296, 1196)",123
"(589, 1196)",123
"(1213,)",123
"(1198, 1210)",122
"(356, 589)",122
"(296, 356, 593)",122
"(260, 1198, 2571)",122
"(1265,)",122
"(318, 858)",122
"(150, 593)",122
"(527, 2571)",122
"(296, 356, 2571)",121
"(296, 608)",121
"(1, 356)",121
"(1240,)",121
"(457,)",121
"(316,)",121
"(47, 2571)",121
"(1198, 1291)",121
"(2571, 4993)",120
"(296, 858)",120
"(296, 1198)",120
"(10,)",120
"(260, 1198, 1210)",120
"(8961,)",120
"(318, 356, 593)",119
"(260, 593, 1196)",119
"(356, 1210)",119
"(858, 2571)",119
"(260, 858)",119
"(318, 356, 2571)",119
"(50, 356)",119
"(50, 2571)",119
"(1196, 1198, 1210)",119
"(592, 593)",119
"(593, 858)",118
"(260, 2858)",118
"(589, 1210)",118
"(260, 318, 1196)",118
"(260, 296, 2571)",118
"(260, 780)",117
"(541,)",117
"(588, 595)",117
"(858, 1221)",117
"(260, 1196, 1198, 1210)",117
"(2571, 4306)",117
"(318, 1198)",117
"(296, 589, 593)",117
"(296, 590)",116
"(2571, 4226)",116
"(260, 356, 1196)",116
"(1200,)",116
"(356, 2858)",116
"(593, 1198)",116
"(50, 296, 593)",116
"(318, 592)",116
"(260, 589, 1196)",116
"(1196, 1198, 2571)",115
"(260, 1291)",115
"(593, 608)",115
"(318, 527, 593)",115
"(260, 296, 318)",115
"(47, 356)",115
"(50, 318, 593)",114
"(1196, 1291)",114
"(1136,)",114
"(1, 593)",114
"(1, 2571)",114
"(296, 318, 589)",114
"(593, 1210)",114
"(1073,)",114
"(296, 318, 527)",114
"(318, 593, 2571)",114
"(260, 1196, 1198, 2571)",113
"(260, 318, 2571)",113
"(296, 1210)",113
"(356, 2762)",113
"(34,)",113
"(1580,)",113
"(260, 296, 593)",113
"(318, 2762)",112
"(1206,)",112
"(32, 318)",112
"(296, 1089)",112
"(6874,)",112
"(50, 527)",112
"(50, 260)",112
"(296, 1196, 2571)",112
"(593, 2762)",112
"(318, 1210)",112
"(47, 589)",112
"(47, 50)",112
"(260, 356, 1210)",111
"(150, 589)",111
"(318, 4226)",111
"(296, 2571, 2858)",111
"(356, 1198)",111
"(2716,)",111
"(33794,)",110
"(344,)",110
"(260, 1196, 1291)",110
"(1291, 2571)",110
"(47, 318, 593)",110
"(480,)",110
"(1, 1210)",110
"(858, 1196)",110
"(260, 589, 2571)",110
"(260, 318, 593)",110
"(296, 527, 593)",110
"(589, 780)",110
"(296, 588)",110
"(318, 588)",110
"(356, 858)",110
"(356, 1196, 1210)",110
"(260, 589, 1210)",110
"(260, 608)",109
"(318, 590)",109
"(1210, 1291)",109
"(648, 780)",109
"(296, 2762)",109
"(1, 780)",109
"(589, 1196, 2571)",109
"(296, 4226)",109
"(318, 608)",109
"(296, 1213)",108
"(589, 1240)",108
"(356, 608)",108
"(356, 4306)",108
"(3147,)",108
"(1097,)",108
"(356, 1270)",108
"(364,)",108
"(260, 593, 2571)",108
"(32, 589)",108
"(150, 356)",108
"(2571, 58559)",108
"(590, 593)",108
"(260, 296, 1210)",108
"(47, 296, 2571)",107
"(47, 260)",107
"(296, 2329)",107
"(588, 592)",107
"(32, 593)",107
"(589, 1196, 1210)",107
"(260, 2762)",107
"(296, 780)",107
"(589, 1198)",107
"(296, 593, 2858)",107
"(5445,)",107
"(260, 356, 1196, 1210)",107
"(1036, 2571)",107
"(1196, 2858)",107
"(260, 1270)",106
"(1196, 2762)",106
"(318, 4306)",106
"(150, 592)",106
"(1196, 1210, 1291)",106
"(318, 589, 593)",106
"(318, 1196, 2571)",106
"(260, 1210, 1291)",106
"(50, 296, 356)",106
"(296, 318, 2858)",106
"(110, 356)",106
"(260, 356, 2571)",106
"(260, 296, 1196, 2571)",106
"(260, 296, 356)",105
"(296, 593, 1196)",105
"(296, 318, 1196)",105
"(1196, 1198, 1291)",105
"(733,)",105
"(47, 296, 318, 593)",105
"(260, 1198, 1291)",105
"(296, 1196, 1210)",105
"(2571, 2959)",105
"(356, 1196, 2571)",105
"(1, 260, 1210)",105
"(2571, 79132)",105
"(150, 296, 318)",105
"(1240, 2571)",105
"(32, 260)",105
"(2762, 2858)",105
"(50, 858)",105
"(318, 356, 527)",105
"(260, 296, 1198)",105
"(1, 1196)",105
"(858, 1210)",104
"(260, 589, 1196, 1210)",104
"(318, 780)",104
"(780, 1210)",104
"(260, 858, 1196)",104
"(6377,)",104
"(1089, 2571)",104
"(150, 588)",104
"(50, 296, 318, 593)",104
"(318, 2571, 2858)",104
"(4995,)",104
"(4963,)",104
"(1208,)",104
"(50, 1196)",104
"(260, 589, 1196, 2571)",104
"(1198, 1210, 2571)",104
"(1, 589)",103
"(1196, 1270)",103
"(1196, 1214)",103
